INSERT INTO `funjob`.`rel_agrup_perg` (
`idagrupamento` ,
`idpergunta` ,
`ordem` ,
`descricao`
)
VALUES 
('167', '12', '1', NULL),
('196', '13', '2', NULL), 
('196', '14', '3', NULL),
('196', '15', '4', NULL), 
('196', '17', '5', NULL), 
('196', '18', '6', NULL), 
('196', '39', '7', NULL);



INSERT INTO `funjob`.`rel_form_agrup` (
`idformulario` ,
`idagrupamento` ,
`ordem`
)
VALUES 
('a', '167', '1'), 
('a', '168', '2'),
('a', '169', '3'), 
('a', '170', '4'),
('a', '171', '5'),
('a', '172', '6'),
('a', '173', '7'),
('a', '174', '8'),
('a', '175', '9'),
('a', '176', '10'), 
('a', '177', '11'),
('a', '178', '12'), 
('a', '179', '13'),
('a', '180', '14'),
('a', '181', '15'),
('a', '182', '16'),
('a', '183', '17'),
('a', '184', '18'),
('a', '185', '19'),
('a', '186', '20'),
('a', '187', '21'),
('a', '188', '22'),
('a', '189', '23'),
('a', '190', '24'),


('b', '167', '1'), 
('b', '168', '2'),
('b', '169', '3'), 
('b', '170', '4'),
('b', '171', '5'),
('b', '172', '6'),
('b', '173', '7'),
('b', '174', '8'),
('b', '175', '9'),
('b', '177', '10'), 
('b', '176', '11'),
('b', '178', '12'),
('b', '191', '13'),  
('b', '179', '14'),
('b', '192', '15'),
('b', '180', '16'),
('b', '181', '17'),
('b', '182', '18'),
('b', '184', '19'),
('b', '186', '20'),
('b', '185', '21'),
('b', '193', '22'),
('b', '194', '23'),
('b', '187', '24'),
('b', '188', '25'),
('b', '189', '26'),
('b', '190', '27'),


('c', '167', '1'), 
('c', '178', '2'),
('c', '191', '3'),  
('c', '179', '4'),
('c', '180', '5'),
('c', '181', '6'),
('c', '186', '7'),
('c', '193', '8'),
('c', '195', '9'),
('c', '196', '10'),


('d', '167', '1'), 
('d', '168', '2'),
('d', '169', '3'), 
('d', '170', '4'),
('d', '171', '5'),
('d', '172', '6'),
('d', '173', '7'),
('d', '174', '8'),
('d', '175', '9'),
('d', '177', '10'), 
('d', '176', '11'),
('d', '178', '12'),
('d', '191', '13'),  
('d', '179', '14'),
('d', '192', '15'),
('d', '180', '16'),
('d', '181', '17'),
('d', '186', '18'),
('d', '193', '19'),
('d', '195', '20'),
('d', '194', '21'),
('d', '196', '22');
